timestamp_index,pressure_bar,temperature_c,flow_nm3h,tank_level_pct,electrolyzer_current_a,valve_state,compressor_state,network_latency_ms,packet_rate_pps,command_rate_per_min,attack_label,attack_type
0,28.10665097791405,36.73385014983364,79.2972376248267,65.96532460088315,422.85423550749,1,1,12.786286865759365,220.2907791713321,14.875155086165918,0,normal
1,27.649851580112543,36.669438464817745,79.81357536665988,66.72960945446933,430.02734732921334,1,1,13.94312305905046,227.0431521862784,19.760656594128275,0,normal
2,28.29034913383877,36.90396943583413,78.15716299904601,64.94043963614834,423.2288257764221,1,1,12.384361123088516,220.19491520036294,19.18714326863959,0,normal
3,28.37073242552786,36.84480709062568,78.00051081768218,65.04856548720397,427.37899448596465,1,1,13.141572894217276,217.81226383642215,15.319986609883497,0,normal
4,27.372513560579648,35.95181422964159,80.07558649922875,65.32720685010023,425.1887668901014,1,1,13.706970378402698,220.32829587872112,20.193650425551592,0,normal
5,27.613450874361305,36.83970713856168,78.88705470706664,65.73656198029725,426.2492273589572,1,1,13.493737575302749,216.55624900467538,16.4632072410394,0,normal
6,28.127791572561176,36.457633974739004,78.01703235806306,65.59040906465083,426.70292666166284,1,1,14.87228912284391,238.59183138166924,18.85210111962409,0,normal
7,27.986191339796918,36.358159255313815,81.19292449418779,66.00536337281396,424.21948605841175,1,1,13.114606859113335,223.24288991511054,19.368682613438338,0,normal
8,28.104818925361165,36.671540934613276,79.1488830773509,64.63080630377796,420.5097019522681,1,1,11.03602250643566,214.16244806019296,17.46128436610552,0,normal
9,27.825950488983462,36.82645000358133,81.49675576530876,65.85739336689082,430.697754495752,1,1,11.977072508802165,198.30368628173835,20.001677336219636,0,normal
10,28.446114320216505,36.31855146562396,80.07034354407618,64.95500921247175,435.0435967322359,1,1,13.97861823739857,217.6334971478587,17.682961380016987,0,normal
11,28.42435318692235,36.90988692781012,80.44739233710078,65.44290162093397,435.5801717910268,1,1,13.295836075991891,213.0781130029133,18.745218426598502,0,normal
12,28.189028732681702,36.92956491553966,79.81967111237383,66.93268289740128,424.7254263769574,1,1,12.515993921650283,212.63246862954085,17.396925118028065,0,normal
13,28.574234572403103,36.75544116944934,76.67286273663083,64.4562969319904,424.0330368512612,1,0,16.35014159490723,231.31133558444836,13.889910517830204,0,normal
14,28.357099948088983,36.5317375285547,78.67623927798734,65.35985222227897,425.1340109676831,1,1,14.994500145663626,220.9568279262911,17.728223832833947,0,normal
15,27.90647939665626,36.508724512803695,80.01965999548221,64.57216033699619,427.232171002083,1,1,13.929887407828094,199.81065721687753,16.077934595776284,0,normal
16,28.350042351285115,37.0149567500459,80.685780631067,65.72269773819004,428.054374666778,1,1,14.279956690999043,227.42598216153738,21.062991949043877,0,normal
17,27.89910540910681,36.38555173852291,77.9131342760711,66.44711164749434,423.53172981424035,1,1,13.681830786791618,201.01556009707693,14.998812697628741,0,normal
18,28.55589277904244,37.034337572761906,80.19763078394982,65.75244682779955,421.3267411568219,1,0,12.495421706365704,228.31983784319186,20.695041353455245,0,normal
19,28.244667258693998,36.73176143490262,78.83549443257742,65.53146283742318,429.1785204431281,1,1,15.23686434366898,214.299097116986,17.606702170708918,0,normal
20,28.211130143007964,36.75392245251371,80.6260884848785,66.69558545038471,411.47947678517335,1,1,15.021596097330718,221.04288654274788,18.893644674069105,0,normal
21,28.05118095107917,36.35565745590774,80.32202313895884,65.90520879249526,428.83026110221755,1,1,11.627199460313586,219.7011205407725,14.964183683381425,0,normal
22,28.731052951062875,36.75077684874631,81.33947312649153,66.30431804948624,424.8111243202193,1,0,14.271719002538905,218.22247800424392,17.320661491445755,0,normal
23,28.262717416130148,36.945607196163266,81.78498039944772,66.2286444885819,433.63623119078045,1,1,14.404198670693075,222.51428742281016,16.53783672339287,0,normal
24,28.180508503792883,36.46284116123207,81.01949738528859,63.363134558988385,435.1734930027885,1,1,13.61392252537287,220.98261077103945,22.627133448764724,0,normal
25,28.220777454000142,36.92631344009133,81.56553024674085,65.61039498413854,435.4906562299573,1,1,16.516718406357718,242.43675235865982,16.483440455621444,0,normal
26,28.543913010374784,36.82859612033758,80.01528737031698,64.81678835848588,428.6005355302357,1,0,16.386493599511333,222.68738094417333,20.537428591139832,0,normal
27,28.499069656775898,36.650070400778,84.16400302378206,65.0232269983231,424.85461108391087,1,1,13.546990441702956,222.96623722924016,20.56820260678471,0,normal
28,28.529158124851996,37.02932135759732,78.93220505007918,66.87369657208426,426.6541345271304,1,0,13.732616947407086,211.4857472340073,20.506401144257246,0,normal
29,28.549003775088497,36.269710081252114,79.8528064761903,65.40144493342405,432.3611033776377,1,0,13.591675482308966,224.57074028483657,16.693473672092125,0,normal
30,29.161284234596913,36.911542925978345,81.73237186723169,67.22252003998236,422.8888555024907,1,0,13.266401152343246,207.71690727434412,21.97077155724129,0,normal
31,28.282929107539342,37.2343071439988,81.56035576865091,64.58940521123911,438.2802125523007,1,1,12.895087384927464,233.80153275551862,22.426799061946824,0,normal
32,28.259331038958333,37.19398677858803,81.23612987636088,64.85562405903212,429.8527467937827,1,1,14.60822853403031,202.18781848893295,18.80765568243702,0,normal
33,28.16721121662489,36.93598221081261,81.50063632439611,66.33936014166345,434.1993271571432,1,1,16.353729724070675,209.87609568683894,16.976122497513536,0,normal
34,28.681013399487043,36.76761664557146,77.93378569193477,65.46321544371564,422.9830055024239,1,0,15.860098267874376,200.4504062075778,16.106577387336728,0,normal
35,28.873922294567137,36.68856915662632,82.72767444038838,65.98892161647389,427.4510041590517,1,0,14.947012393888365,225.03572490608738,19.037870091728333,0,normal
36,28.45223344230913,36.77624782649742,80.41519051685852,65.65987533985032,422.74238329136955,1,1,11.11146569843763,214.91351808507193,18.142785041095927,0,normal
37,28.21136422683467,36.992366965684454,82.31805861482007,65.64223475639723,437.5656633791269,1,1,11.762540619929247,228.23112769899114,18.401973300978668,0,normal
38,28.230124603260975,36.65901635771457,78.07244218226788,65.51939565662421,431.8466869736241,1,1,15.276995967794289,208.29291057549085,15.034690674653962,0,normal
39,28.759643847729055,37.05457157338969,81.06667788995401,65.91278171169455,435.6912738604515,1,0,15.943248137514585,226.37770597035973,18.072490292031805,0,normal
